project_id,mp_id,state_ut,constituency,district,block_or_urban,gram_panchayat_or_ward,village_or_locality,work_description,work_category,estimated_cost_inr,sanctioned_cost_inr,sanction_date,start_date,expected_completion_date,actual_completion_date,status,physical_completion_percentage,latitude,longitude,implementing_agency_id,ground_truth_label,anomaly_scenario
PRJ000792,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Nandnagar Gram Panchayat,Nandnagar,"Provision of LED street lighting in Nandnagar, Narasapuram district",STREET_LIGHTING,569300,539800,2025-02-05,2025-04-13,2025-07-10,2025-06-30,COMPLETED,39,16.33374,80.40563,SYN_AGENCY_039,ANOMALOUS,FINANCIAL_PHYSICAL_MISMATCH
PRJ000793,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Jaigaon Gram Panchayat,Jaigaon,"Construction of individual household toilets in Jaigaon, Narasapuram district",SANITATION,955500,969000,2024-12-08,2025-02-01,2025-05-02,2025-05-20,COMPLETED,100,16.33155,80.33715,SYN_AGENCY_022,NORMAL,NORMAL
PRJ000794,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Sagarnagar Gram Panchayat,Sagarnagar,"Development of playground/sports ground at Sagarnagar, Narasapuram district",SPORTS_INFRASTRUCTURE,2455700,3541400,2024-08-24,2024-10-10,2025-05-27,2025-05-28,COMPLETED,100,16.29917,80.31283,SYN_AGENCY_076,ANOMALOUS,COST_OVERRUN
PRJ000795,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Chandanpur Gram Panchayat,Chandanpur,"Construction of sports infrastructure facility at Chandanpur, Narasapuram district",SPORTS_INFRASTRUCTURE,1531800,1492800,2024-07-12,2024-09-22,2025-03-05,2025-03-10,COMPLETED,100,16.37216,80.37718,SYN_AGENCY_016,NORMAL,NORMAL
PRJ000796,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Indrakheda Gram Panchayat,Indrakheda,"Construction of Community Hall at Indrakheda, Narasapuram district",COMMUNITY_HALL,2621800,2610400,2024-07-22,2024-10-04,2025-05-16,2025-06-07,COMPLETED,100,16.25717,80.31167,SYN_AGENCY_070,NORMAL,NORMAL
PRJ000797,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Chandangarh Gram Panchayat,Chandangarh,"Construction of individual household toilets in Chandangarh, Narasapuram district",SANITATION,957700,900500,2025-01-28,2025-04-23,2025-08-07,,ONGOING,65,16.27286,80.29883,SYN_AGENCY_043,NORMAL,NORMAL
PRJ000798,MP00088,Andhra Pradesh,NARASAPURAM,Narasapuram,Narasapuram Block,Amaroli Gram Panchayat,Amaroli,"Construction of covered drainage system in Amaroli, Narasapuram district",DRAINAGE,1740300,1662400,2024-11-22,2025-01-23,2025-06-13,2025-06-30,COMPLETED,100,16.32797,80.36659,SYN_AGENCY_016,NORMAL,NORMAL
PRJ000799,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Suryaabad Gram Panchayat,Suryaabad,"Installation of electric transformer/supply lines in Suryaabad, Alwar district",ELECTRIFICATION,1230400,1231100,2024-07-01,2024-08-09,2024-12-03,,DELAYED,46,27.31448,74.72364,SYN_AGENCY_043,ANOMALOUS,PROJECT_DELAY
PRJ000800,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Shyamwadi Gram Panchayat,Shyamwadi,"Construction of additional classrooms at Government School, Shyamwadi, Alwar district",SCHOOL_INFRASTRUCTURE,2452000,4321000,2025-01-11,2025-04-09,2025-08-16,,ONGOING,54,27.26376,74.80635,SYN_AGENCY_004,ANOMALOUS,COST_OVERRUN
PRJ000801,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Vijaygaon Gram Panchayat,Vijaygaon,"Development of community infrastructure asset at Vijaygaon, Alwar district",OTHER_CIVIC_ASSET,949500,898700,2024-09-03,2024-09-18,2025-02-15,2025-03-03,COMPLETED,100,27.41227,74.80347,SYN_AGENCY_075,NORMAL,NORMAL
PRJ000802,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Vijayabad Gram Panchayat,Vijayabad,"Black-topping/upgradation of village road in Vijayabad, Alwar district",ROAD,2285100,2271400,2024-08-13,2024-09-29,2025-03-26,2025-04-11,COMPLETED,100,27.2759,74.69391,SYN_AGENCY_013,NORMAL,NORMAL
PRJ000803,MP00089,Rajasthan,ALWAR,Alwar,Alwar Municipality,Ward No. 34,Hanuman Layout,"Development of playground/sports ground at Hanuman Layout, Alwar district",SPORTS_INFRASTRUCTURE,1159500,1092900,2024-07-26,2024-08-17,2025-01-19,2025-01-09,COMPLETED,100,27.33219,74.76046,SYN_AGENCY_077,NORMAL,NORMAL
PRJ000804,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Balpura Gram Panchayat,Balpura,"Construction of bus shelter at Balpura, Alwar district",BUS_SHELTER,528900,524500,2024-12-03,2025-01-19,2025-03-28,2025-04-12,COMPLETED,100,27.39682,74.73806,SYN_AGENCY_014,NORMAL,NORMAL
PRJ000805,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Deepgarh Gram Panchayat,Deepgarh,"Provision of LED street lighting in Deepgarh, Alwar district",STREET_LIGHTING,517500,512000,2024-07-01,2024-08-18,2024-10-25,,DELAYED,36,27.37949,74.68153,SYN_AGENCY_029,ANOMALOUS,PROJECT_DELAY
PRJ000806,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Chandraoli Gram Panchayat,Chandraoli,"Construction of concrete road at Chandraoli, Alwar district",ROAD,2358000,2333900,2024-08-18,2024-10-12,2025-05-11,2025-05-01,COMPLETED,100,27.25868,74.69854,SYN_AGENCY_039,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000807,MP00089,Rajasthan,ALWAR,Alwar,Alwar Block,Chandangarh Gram Panchayat,Chandangarh,"Development of community infrastructure asset at Chandangarh, Alwar district",OTHER_CIVIC_ASSET,683300,684700,2025-01-19,2025-04-16,2025-09-25,,ONGOING,45,27.40119,74.72092,SYN_AGENCY_040,NORMAL,NORMAL
PRJ000808,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Ganeshwadi Gram Panchayat,Ganeshwadi,"Construction of pucca drain in Ganeshwadi, Jagatsinghpur district",DRAINAGE,1737700,1644000,2025-01-28,2025-03-09,2025-09-04,,ONGOING,48,18.96996,83.25378,SYN_AGENCY_027,NORMAL,NORMAL
PRJ000809,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Nandkheda Gram Panchayat,Nandkheda,"Installation of solar street lights in Nandkheda, Jagatsinghpur district",STREET_LIGHTING,760200,731300,2024-07-20,2024-08-22,2024-12-19,2024-12-14,COMPLETED,100,18.91173,83.25933,SYN_AGENCY_065,NORMAL,NORMAL
PRJ000810,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Veerabad Gram Panchayat,Veerabad,"Installation of solar street lights in Veerabad, Jagatsinghpur district",STREET_LIGHTING,804700,790300,2024-07-14,2024-09-08,2025-01-04,2025-01-11,COMPLETED,100,18.92574,83.25212,SYN_AGENCY_022,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000811,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Kaverihalli Gram Panchayat,Kaverihalli,"Construction of individual household toilets in Kaverihalli, Jagatsinghpur district",SANITATION,1474800,1469000,2025-05-02,2025-06-09,2025-10-30,,ONGOING,11,19.03651,83.33977,SYN_AGENCY_069,NORMAL,NORMAL
PRJ000812,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Vijaygaon Gram Panchayat,Vijaygaon,"Construction of community sanitation complex in Vijaygaon, Jagatsinghpur district",SANITATION,1149200,1121800,2024-07-01,2024-09-18,2024-11-21,,DELAYED,20,18.97255,83.29708,SYN_AGENCY_012,ANOMALOUS,LOW_UTILIZATION
PRJ000813,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Veerpur Gram Panchayat,Veerpur,"Laying of water supply pipeline in Veerpur, Jagatsinghpur district",WATER_SUPPLY,2020300,2007300,2024-07-10,2024-09-13,2025-04-17,2025-04-14,COMPLETED,100,19.02144,83.28232,SYN_AGENCY_069,NORMAL,NORMAL
PRJ000814,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Kaveriabad Gram Panchayat,Kaveriabad,"Provision of LED street lighting in Kaveriabad, Jagatsinghpur district",STREET_LIGHTING,1027200,997300,2024-07-01,2024-08-07,2024-09-29,,DELAYED,20,18.91872,83.32671,SYN_AGENCY_078,ANOMALOUS,LOW_UTILIZATION
PRJ000815,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Nagar Panchayat,Ward No. 2,Ganesh Layout,"Construction of boundary wall at Government School, Ganesh Layout, Jagatsinghpur district",SCHOOL_INFRASTRUCTURE,1998000,1936200,2024-12-01,2025-01-26,2025-10-14,,ONGOING,59,19.03619,83.31374,SYN_AGENCY_066,NORMAL,NORMAL
PRJ000816,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Yamunakheda Gram Panchayat,Yamunakheda,"Establishment of reading room/library at Yamunakheda, Jagatsinghpur district",LIBRARY,527600,518400,2024-07-01,2024-08-13,2025-01-01,,DELAYED,64,18.98899,83.25471,SYN_AGENCY_010,ANOMALOUS,PROJECT_DELAY
PRJ000817,MP00090,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur,Jagatsinghpur Block,Indranagar Gram Panchayat,Indranagar,"Construction of health infrastructure facility at Indranagar, Jagatsinghpur district",HEALTH_INFRASTRUCTURE,1913500,1825800,2024-07-16,2024-10-09,2025-07-17,,ONGOING,84,18.91031,83.31691,SYN_AGENCY_080,NORMAL,NORMAL
PRJ000818,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Narmadapalli Gram Panchayat,Narmadapalli,"Construction of passenger waiting shed at Narmadapalli, Jamshedpur district",BUS_SHELTER,380000,361200,2025-03-16,2025-04-17,2025-05-20,2025-05-31,COMPLETED,26,21.553,83.38744,SYN_AGENCY_044,ANOMALOUS,FINANCIAL_PHYSICAL_MISMATCH
PRJ000819,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Nagar Panchayat,Ward No. 38,Veer Vihar,"Construction of additional classrooms at Government School, Veer Vihar, Jamshedpur district",SCHOOL_INFRASTRUCTURE,1160000,1108300,2024-11-14,2025-01-04,2025-05-07,2025-04-30,COMPLETED,100,21.58438,83.31307,SYN_AGENCY_028,NORMAL,NORMAL
PRJ000820,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Urban Local Body,Ward No. 13,Shyam Extension,"Black-topping/upgradation of village road in Shyam Extension, Jamshedpur district",ROAD,2866400,2872700,2024-09-23,2024-12-03,2025-07-06,2025-06-30,COMPLETED,32,21.53426,83.45608,SYN_AGENCY_004,ANOMALOUS,FINANCIAL_PHYSICAL_MISMATCH
PRJ000821,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Urban Local Body,Ward No. 4,Sagar Ganj,"Construction of health infrastructure facility at Sagar Ganj, Jamshedpur district",HEALTH_INFRASTRUCTURE,2381900,2245700,2024-08-24,2024-09-11,2025-03-15,2025-03-09,COMPLETED,100,21.5186,83.42759,SYN_AGENCY_010,NORMAL,NORMAL
PRJ000822,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Municipality,Ward No. 23,Chandra Vihar,"Construction of Panchayat Bhawan at Chandra Vihar, Jamshedpur district",PUBLIC_BUILDING,1276800,1234600,2024-10-06,2024-12-15,2025-09-25,,ONGOING,35,21.46841,83.36902,SYN_AGENCY_051,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000823,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Laxmihalli Gram Panchayat,Laxmihalli,"Installation of drinking water supply scheme in Laxmihalli, Jamshedpur district",DRINKING_WATER,1415700,1333400,2025-03-10,2025-05-26,2025-10-23,,ONGOING,20,21.54813,83.35038,SYN_AGENCY_025,NORMAL,NORMAL
PRJ000824,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Sagargaon Gram Panchayat,Sagargaon,"Construction of sports infrastructure facility at Sagargaon, Jamshedpur district",SPORTS_INFRASTRUCTURE,1317900,1285600,2024-10-21,2024-11-21,2025-04-19,2025-04-28,COMPLETED,100,21.48631,83.34524,SYN_AGENCY_080,NORMAL,NORMAL
PRJ000825,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Adityawadi Gram Panchayat,Adityawadi,"Construction of concrete road at Adityawadi, Jamshedpur district",ROAD,1561200,1472000,2024-09-27,2024-12-19,2025-09-10,,ONGOING,63,21.459,83.41813,SYN_AGENCY_031,NORMAL,NORMAL
PRJ000826,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Suryakheda Gram Panchayat,Suryakheda,"Construction of concrete road at Suryakheda, Jamshedpur district",ROAD,1552700,1493800,2024-07-01,2024-09-27,2025-04-21,,DELAYED,45,21.5489,83.35916,SYN_AGENCY_075,ANOMALOUS,PROJECT_DELAY
PRJ000827,MP00091,Jharkhand,JAMSHEDPUR,Jamshedpur,Jamshedpur Block,Bharatgarh Gram Panchayat,Bharatgarh,"Construction of Community Centre at Bharatgarh, Jamshedpur district",COMMUNITY_HALL,3035100,2883000,2025-01-24,2025-02-13,2025-10-23,,ONGOING,45,21.53997,83.36542,SYN_AGENCY_065,NORMAL,NORMAL
PRJ000828,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Urban Local Body,Ward No. 30,Kishan Layout,"Black-topping/upgradation of village road in Kishan Layout, Guwahati district",ROAD,2809900,2782600,2024-07-10,2024-09-28,2025-02-02,2025-01-30,COMPLETED,100,23.9788,90.92316,SYN_AGENCY_026,NORMAL,NORMAL
PRJ000829,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Nagar Panchayat,Ward No. 42,Shiv Extension,"Installation of solar street lights in Shiv Extension, Guwahati district",STREET_LIGHTING,935200,889200,2024-08-27,2024-09-20,2025-01-13,2025-01-13,COMPLETED,100,24.01527,91.01899,SYN_AGENCY_033,NORMAL,NORMAL
PRJ000830,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Municipality,Ward No. 40,Anand Vihar,"Construction of Community Hall at Anand Vihar, Guwahati district",COMMUNITY_HALL,1669800,1654700,2024-09-16,2024-10-13,2025-05-22,,ONGOING,73,24.06221,90.90062,SYN_AGENCY_023,NORMAL,NORMAL
PRJ000831,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Urban Local Body,Ward No. 9,Jai Puram,"Construction of boundary wall at Government School, Jai Puram, Guwahati district",SCHOOL_INFRASTRUCTURE,1173200,1668500,2025-04-03,2025-06-08,2026-01-19,,ONGOING,7,24.05215,90.9064,SYN_AGENCY_054,ANOMALOUS,COST_OVERRUN
PRJ000832,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Block,Anandgaon Gram Panchayat,Anandgaon,"Development of playground/sports ground at Anandgaon, Guwahati district",SPORTS_INFRASTRUCTURE,1055600,997400,2025-02-06,2025-04-30,2025-10-26,,ONGOING,25,24.06783,90.97532,SYN_AGENCY_053,NORMAL,NORMAL
PRJ000833,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Municipality,Ward No. 13,Surya Puram,"Construction of bus shelter at Surya Puram, Guwahati district",BUS_SHELTER,587500,561700,2025-01-05,2025-04-03,2025-06-04,,ONGOING,94,24.07318,90.88629,SYN_AGENCY_058,NORMAL,NORMAL
PRJ000834,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Block,Nandpalli Gram Panchayat,Nandpalli,"Construction of boundary wall at Government School, Nandpalli, Guwahati district",SCHOOL_INFRASTRUCTURE,1385800,1376100,2024-07-05,2024-09-18,2025-06-03,2025-05-22,COMPLETED,100,23.9667,91.00154,SYN_AGENCY_063,NORMAL,NORMAL
PRJ000835,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Urban Local Body,Ward No. 34,Anand Layout,"Construction of village library at Anand Layout, Guwahati district",LIBRARY,1054600,1046700,2024-07-23,2024-09-13,2025-01-04,,ONGOING,74,23.95111,91.01912,SYN_AGENCY_030,NORMAL,NORMAL
PRJ000836,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Nagar Panchayat,Ward No. 21,Veer Ganj,"Construction of community sanitation complex in Veer Ganj, Guwahati district",SANITATION,517200,486700,2025-04-08,2025-06-08,2025-10-20,,ONGOING,16,23.97657,91.00514,SYN_AGENCY_055,NORMAL,NORMAL
PRJ000837,MP00092,Assam,GUWAHATI,Guwahati,Guwahati Nagar Panchayat,Ward No. 6,Om Puram,"Construction of concrete road at Om Puram, Guwahati district",ROAD,3245800,3066600,2025-03-18,2025-04-26,2025-11-03,,ONGOING,30,24.08415,91.00809,SYN_AGENCY_032,NORMAL,NORMAL
PRJ000838,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Suryapalli Gram Panchayat,Suryapalli,"Construction of health infrastructure facility at Suryapalli, Tripura West district",HEALTH_INFRASTRUCTURE,3413600,3224600,2024-11-04,2025-01-15,2025-09-06,,ONGOING,70,21.57497,89.83721,SYN_AGENCY_005,NORMAL,NORMAL
PRJ000839,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Mohanoli Gram Panchayat,Mohanoli,"Black-topping/upgradation of village road in Mohanoli, Tripura West district",ROAD,3194600,3115600,2025-05-10,2025-06-01,2026-02-13,,ONGOING,11,21.72102,89.94121,SYN_AGENCY_031,NORMAL,NORMAL
PRJ000840,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Yamunanagar Gram Panchayat,Yamunanagar,"Upgradation of Primary Health Sub-Centre at Yamunanagar, Tripura West district",HEALTH_INFRASTRUCTURE,1749500,1710000,2024-11-17,2024-12-25,2025-05-28,2025-06-05,COMPLETED,100,21.62859,89.89327,SYN_AGENCY_060,NORMAL,NORMAL
PRJ000841,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Adityapura Gram Panchayat,Adityapura,"Laying of water supply pipeline in Adityapura, Tripura West district",WATER_SUPPLY,1062100,1599200,2024-08-19,2024-10-12,2025-05-27,2025-05-15,COMPLETED,100,21.65569,89.82261,SYN_AGENCY_005,ANOMALOUS,COST_OVERRUN
PRJ000842,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Anandpur Gram Panchayat,Anandpur,"Construction of irrigation channel near Anandpur, Tripura West district",IRRIGATION,1386300,1917300,2024-11-29,2025-01-16,2025-10-20,,ONGOING,52,21.62392,89.84255,SYN_AGENCY_043,ANOMALOUS,COST_OVERRUN
PRJ000843,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Ramkheda Gram Panchayat,Ramkheda,"Installation of solar street lights in Ramkheda, Tripura West district",STREET_LIGHTING,514900,501100,2024-07-29,2024-08-19,2024-10-27,,ONGOING,74,21.6505,89.96191,SYN_AGENCY_079,NORMAL,NORMAL
PRJ000844,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Kaveripur Gram Panchayat,Kaveripur,"Provision of LED street lighting in Kaveripur, Tripura West district",STREET_LIGHTING,1032500,1806600,2024-07-06,2024-07-30,2024-09-14,2024-09-30,COMPLETED,100,21.68658,89.96077,SYN_AGENCY_029,ANOMALOUS,COST_OVERRUN
PRJ000845,MP00093,Tripura,TRIPURA WEST,Tripura West,Tripura West Block,Kishanhalli Gram Panchayat,Kishanhalli,"Provision of electrification works in Kishanhalli, Tripura West district",ELECTRIFICATION,1277900,1213700,2025-02-20,2025-04-07,2025-08-29,,ONGOING,55,21.62607,89.91217,SYN_AGENCY_043,NORMAL,NORMAL
PRJ000846,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Ganesholi Gram Panchayat,Ganesholi,"Construction of check dam near Ganesholi, Andaman And Nicobar Islands district",IRRIGATION,2206500,2182600,2024-08-27,2024-10-19,2025-10-09,2025-06-30,COMPLETED,23,9.29862,90.38161,SYN_AGENCY_001,ANOMALOUS,FINANCIAL_PHYSICAL_MISMATCH
PRJ000847,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Nandwadi Gram Panchayat,Nandwadi,"Construction of community sanitation complex in Nandwadi, Andaman And Nicobar Islands district",SANITATION,607400,613000,2025-05-12,2025-08-08,2025-10-24,,SANCTIONED,0,9.33708,90.47825,SYN_AGENCY_033,NORMAL,NORMAL
PRJ000848,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Municipality,Ward No. 18,Kaveri Puram,"Black-topping/upgradation of village road in Kaveri Puram, Andaman And Nicobar Islands district",ROAD,2901900,2814800,2024-11-05,2024-11-30,2025-08-15,,ONGOING,80,9.2653,90.43154,SYN_AGENCY_039,NORMAL,NORMAL
PRJ000849,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Chandanwadi Gram Panchayat,Chandanwadi,"Provision of civic amenities at Chandanwadi, Andaman And Nicobar Islands district",OTHER_CIVIC_ASSET,1014100,1021100,2025-01-10,2025-03-23,2025-06-12,2025-05-30,COMPLETED,100,9.28652,90.52957,SYN_AGENCY_069,NORMAL,NORMAL
PRJ000850,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Vijayabad Gram Panchayat,Vijayabad,"Black-topping/upgradation of village road in Vijayabad, Andaman And Nicobar Islands district",ROAD,2539400,2433900,2025-01-21,2025-04-17,2025-10-19,,ONGOING,42,9.29836,90.45022,SYN_AGENCY_075,NORMAL,NORMAL
PRJ000851,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Narmadakheda Gram Panchayat,Narmadakheda,"Provision of hand pumps/bore-well for drinking water in Narmadakheda, Andaman And Nicobar Islands district",DRINKING_WATER,1504900,1470000,2024-08-06,2024-11-03,2025-04-15,,ONGOING,88,9.32396,90.4926,SYN_AGENCY_017,NORMAL,NORMAL
PRJ000852,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Mohangarh Gram Panchayat,Mohangarh,"Black-topping/upgradation of village road in Mohangarh, Andaman And Nicobar Islands district",ROAD,3916900,3711200,2024-07-17,2024-08-26,2025-01-24,,ONGOING,85,9.35511,90.37962,SYN_AGENCY_065,NORMAL,NORMAL
PRJ000853,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Indraabad Gram Panchayat,Indraabad,"Establishment of reading room/library at Indraabad, Andaman And Nicobar Islands district",LIBRARY,1012700,954900,2025-02-05,2025-03-13,2025-09-04,,ONGOING,67,9.32163,90.41608,SYN_AGENCY_013,NORMAL,NORMAL
PRJ000854,MP00094,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,Andaman And Nicobar Islands,Andaman And Nicobar Islands Block,Chandanpalli Gram Panchayat,Chandanpalli,"Construction of covered drainage system in Chandanpalli, Andaman And Nicobar Islands district",DRAINAGE,1363900,1297500,2024-07-30,2024-10-08,2025-02-03,2025-01-19,COMPLETED,100,9.34188,90.46172,SYN_AGENCY_057,NORMAL,NORMAL
PRJ000855,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Municipal Corporation,Ward No. 19,Krishna Extension,"Construction of health infrastructure facility at Krishna Extension, Jhunjhunu district",HEALTH_INFRASTRUCTURE,1835700,2438100,2024-11-01,2024-11-27,2025-05-18,2025-05-14,COMPLETED,100,29.45506,71.89715,SYN_AGENCY_022,ANOMALOUS,COST_OVERRUN
PRJ000856,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Suryahalli Gram Panchayat,Suryahalli,"Construction of health infrastructure facility at Suryahalli, Jhunjhunu district",HEALTH_INFRASTRUCTURE,3832600,3720000,2024-07-28,2024-08-26,2025-02-04,2025-02-01,COMPLETED,100,29.57354,71.91382,SYN_AGENCY_039,NORMAL,NORMAL
PRJ000857,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Veerpura Gram Panchayat,Veerpura,"Construction of pucca drain in Veerpura, Jhunjhunu district",DRAINAGE,1273100,1260300,2024-12-07,2025-02-15,2025-06-27,2025-06-30,COMPLETED,100,29.59478,71.8536,SYN_AGENCY_076,NORMAL,NORMAL
PRJ000858,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Yamunagarh Gram Panchayat,Yamunagarh,"Laying of water supply pipeline in Yamunagarh, Jhunjhunu district",WATER_SUPPLY,1201700,1150700,2025-04-30,2025-07-24,2026-01-16,,SANCTIONED,0,29.56387,71.9113,SYN_AGENCY_042,NORMAL,NORMAL
PRJ000859,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Laxmiabad Gram Panchayat,Laxmiabad,"Construction of sports infrastructure facility at Laxmiabad, Jhunjhunu district",SPORTS_INFRASTRUCTURE,2240700,2136000,2024-08-16,2024-10-20,2025-02-24,2025-03-19,COMPLETED,100,29.54448,71.84294,SYN_AGENCY_002,NORMAL,NORMAL
PRJ000860,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Deepgaon Gram Panchayat,Deepgaon,"Construction of Community Centre at Deepgaon, Jhunjhunu district",COMMUNITY_HALL,1622300,1564800,2024-07-01,2024-09-08,2025-06-25,,DELAYED,68,29.50325,71.83486,SYN_AGENCY_011,ANOMALOUS,PROJECT_DELAY
PRJ000861,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Anandpatti Gram Panchayat,Anandpatti,"Installation of solar street lights in Anandpatti, Jhunjhunu district",STREET_LIGHTING,737000,747600,2024-10-10,2024-11-25,2025-02-05,2025-02-21,COMPLETED,100,29.59362,71.87335,SYN_AGENCY_036,NORMAL,NORMAL
PRJ000862,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Anandnagar Gram Panchayat,Anandnagar,"Provision of electrification works in Anandnagar, Jhunjhunu district",ELECTRIFICATION,961100,924600,2024-07-01,2024-09-20,2024-12-17,,DELAYED,63,29.47832,71.85494,SYN_AGENCY_026,ANOMALOUS,PROJECT_DELAY
PRJ000863,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Kishanabad Gram Panchayat,Kishanabad,"Construction of covered drainage system in Kishanabad, Jhunjhunu district",DRAINAGE,900900,887500,2024-12-11,2025-02-06,2025-06-30,,ONGOING,78,29.5987,71.92439,SYN_AGENCY_059,NORMAL,NORMAL
PRJ000864,MP00095,Rajasthan,JHUNJHUNU,Jhunjhunu,Jhunjhunu Block,Suryawadi Gram Panchayat,Suryawadi,"Provision of hand pumps/bore-well for drinking water in Suryawadi, Jhunjhunu district",DRINKING_WATER,895600,900900,2025-04-20,2025-07-12,2025-12-27,,SANCTIONED,0,29.46202,71.93252,SYN_AGENCY_068,NORMAL,NORMAL
