state_ut,district,block_or_urban,is_urban
Telangana,Hyderabad,Secunderabad,1
Telangana,Hyderabad,Charminar,1
Telangana,Hyderabad,Khairatabad,1
Telangana,Hyderabad,Ameerpet,1
Telangana,Hyderabad,Hyderabad Municipal Corporation,1
Telangana,Warangal,Hanamkonda,1
Telangana,Warangal,Narsampet,1
Telangana,Warangal,Wardhannapet,1
Telangana,Warangal,Parkal,1
Telangana,Warangal,Warangal Municipal Corporation,1
Telangana,Karimnagar,Huzurabad,0
Telangana,Karimnagar,Jammikunta,0
Telangana,Karimnagar,Manakondur,0
Telangana,Karimnagar,Choppadandi,0
Telangana,Karimnagar,Karimnagar Nagar Panchayat,1
Telangana,Nalgonda,Miryalaguda,0
Telangana,Nalgonda,Devarakonda,0
Telangana,Nalgonda,Nakrekal,0
Telangana,Nalgonda,Suryapet,0
Telangana,Nalgonda,Nalgonda Nagar Panchayat,1
Telangana,Khammam,Khammam-I,0
Telangana,Khammam,Khammam-II,0
Telangana,Khammam,Khammam-III,0
Telangana,Khammam,Khammam Nagar Panchayat,1
Telangana,Nizamabad,Nizamabad-I,0
Telangana,Nizamabad,Nizamabad-II,0
Telangana,Nizamabad,Nizamabad-III,0
Telangana,Nizamabad,Nizamabad Nagar Panchayat,1
Telangana,Medak,Medak-I,0
Telangana,Medak,Medak-II,0
Telangana,Medak,Medak-III,0
Telangana,Medak,Medak Nagar Panchayat,1
Telangana,Rangareddy,Rangareddy-I,0
Telangana,Rangareddy,Rangareddy-II,0
Telangana,Rangareddy,Rangareddy-III,0
Telangana,Rangareddy,Rangareddy Nagar Panchayat,1
Telangana,Mahbubnagar,Mahbubnagar-I,0
Telangana,Mahbubnagar,Mahbubnagar-II,0
Telangana,Mahbubnagar,Mahbubnagar-III,0
Telangana,Mahbubnagar,Mahbubnagar Nagar Panchayat,1
Assam,Kamrup Metropolitan,Dispur,1
Assam,Kamrup Metropolitan,Chandrapur,1
Assam,Kamrup Metropolitan,Sonapur,1
Assam,Kamrup Metropolitan,Azara,1
Assam,Kamrup Metropolitan,Kamrup Metropolitan Municipal Corporation,1
Assam,Dibrugarh,Tingkhong,0
Assam,Dibrugarh,Khowang,0
Assam,Dibrugarh,Barbaruah,0
Assam,Dibrugarh,Tengakhat,0
Assam,Dibrugarh,Dibrugarh Nagar Panchayat,1
Assam,Cachar,Silchar,0
Assam,Cachar,Lakhipur,0
Assam,Cachar,Sonai,0
Assam,Cachar,Katigorah,0
Assam,Cachar,Cachar Nagar Panchayat,1
Assam,Nagaon,Kaliabor,0
Assam,Nagaon,Rupahi,0
Assam,Nagaon,Dhing,0
Assam,Nagaon,Batadraba,0
Assam,Nagaon,Nagaon Nagar Panchayat,1
Assam,Jorhat,Jorhat-I,0
Assam,Jorhat,Jorhat-II,0
Assam,Jorhat,Jorhat-III,0
Assam,Jorhat,Jorhat Nagar Panchayat,1
Assam,Sonitpur,Sonitpur-I,0
Assam,Sonitpur,Sonitpur-II,0
Assam,Sonitpur,Sonitpur-III,0
Assam,Sonitpur,Sonitpur Nagar Panchayat,1
Assam,Barpeta,Barpeta-I,0
Assam,Barpeta,Barpeta-II,0
Assam,Barpeta,Barpeta-III,0
Assam,Barpeta,Barpeta Nagar Panchayat,1
Assam,Tinsukia,Tinsukia-I,0
Assam,Tinsukia,Tinsukia-II,0
Assam,Tinsukia,Tinsukia-III,0
Assam,Tinsukia,Tinsukia Nagar Panchayat,1
Punjab,Ludhiana,Jagraon,1
Punjab,Ludhiana,Khanna,1
Punjab,Ludhiana,Samrala,1
Punjab,Ludhiana,Payal,1
Punjab,Ludhiana,Ludhiana Municipal Corporation,1
Punjab,Amritsar,Ajnala,1
Punjab,Amritsar,Majitha,1
Punjab,Amritsar,Baba Bakala,1
Punjab,Amritsar,Attari,1
Punjab,Amritsar,Amritsar Municipal Corporation,1
Punjab,Jalandhar,Phillaur,1
Punjab,Jalandhar,Nakodar,1
Punjab,Jalandhar,Shahkot,1
Punjab,Jalandhar,Adampur,1
Punjab,Jalandhar,Jalandhar Municipal Corporation,1
Punjab,Patiala,Rajpura,1
Punjab,Patiala,Nabha,1
Punjab,Patiala,Samana,1
Punjab,Patiala,Patran,1
Punjab,Patiala,Patiala Municipal Corporation,1
Punjab,Bathinda,Bathinda-I,0
Punjab,Bathinda,Bathinda-II,0
Punjab,Bathinda,Bathinda-III,0
Punjab,Bathinda,Bathinda Nagar Panchayat,1
Punjab,Firozpur,Firozpur-I,0
Punjab,Firozpur,Firozpur-II,0
Punjab,Firozpur,Firozpur-III,0
Punjab,Firozpur,Firozpur Nagar Panchayat,1
Punjab,Hoshiarpur,Hoshiarpur-I,0
Punjab,Hoshiarpur,Hoshiarpur-II,0
Punjab,Hoshiarpur,Hoshiarpur-III,0
Punjab,Hoshiarpur,Hoshiarpur Nagar Panchayat,1
Punjab,Sangrur,Sangrur-I,0
Punjab,Sangrur,Sangrur-II,0
Punjab,Sangrur,Sangrur-III,0
Punjab,Sangrur,Sangrur Nagar Panchayat,1
Jharkhand,Ranchi,Kanke,1
Jharkhand,Ranchi,Ormanjhi,1
Jharkhand,Ranchi,Bundu,1
Jharkhand,Ranchi,Silli,1
Jharkhand,Ranchi,Ranchi Municipal Corporation,1
Jharkhand,Dhanbad,Baliapur,1
Jharkhand,Dhanbad,Govindpur,1
Jharkhand,Dhanbad,Nirsa,1
Jharkhand,Dhanbad,Tundi,1
Jharkhand,Dhanbad,Dhanbad Municipal Corporation,1
Jharkhand,East Singhbhum,Jamshedpur,1
Jharkhand,East Singhbhum,Ghatshila,1
Jharkhand,East Singhbhum,Potka,1
Jharkhand,East Singhbhum,Patamda,1
Jharkhand,East Singhbhum,East Singhbhum Municipal Corporation,1
Jharkhand,Bokaro,Chas,0
Jharkhand,Bokaro,Chandankiyari,0
Jharkhand,Bokaro,Bermo,0
Jharkhand,Bokaro,Peterwar,0
Jharkhand,Bokaro,Bokaro Nagar Panchayat,1
Jharkhand,Hazaribagh,Hazaribagh-I,0
Jharkhand,Hazaribagh,Hazaribagh-II,0
Jharkhand,Hazaribagh,Hazaribagh-III,0
Jharkhand,Hazaribagh,Hazaribagh Nagar Panchayat,1
Jharkhand,Deoghar,Deoghar-I,0
Jharkhand,Deoghar,Deoghar-II,0
Jharkhand,Deoghar,Deoghar-III,0
Jharkhand,Deoghar,Deoghar Nagar Panchayat,1
Jharkhand,Giridih,Giridih-I,0
Jharkhand,Giridih,Giridih-II,0
Jharkhand,Giridih,Giridih-III,0
Jharkhand,Giridih,Giridih Nagar Panchayat,1
Jharkhand,Palamu,Palamu-I,0
Jharkhand,Palamu,Palamu-II,0
Jharkhand,Palamu,Palamu-III,0
Jharkhand,Palamu,Palamu Nagar Panchayat,1
Chhattisgarh,Raipur,Arang,1
Chhattisgarh,Raipur,Abhanpur,1
Chhattisgarh,Raipur,Tilda,1
Chhattisgarh,Raipur,Dharsiwa,1
Chhattisgarh,Raipur,Raipur Municipal Corporation,1
Chhattisgarh,Bilaspur,Kota,1
Chhattisgarh,Bilaspur,Masturi,1
Chhattisgarh,Bilaspur,Takhatpur,1
Chhattisgarh,Bilaspur,Bilha,1
Chhattisgarh,Bilaspur,Bilaspur Municipal Corporation,1
Chhattisgarh,Durg,Patan,1
Chhattisgarh,Durg,Dhamdha,1
Chhattisgarh,Durg,Bhilai,1
Chhattisgarh,Durg,Utai,1
Chhattisgarh,Durg,Durg Municipal Corporation,1
Chhattisgarh,Korba,Katghora,0
Chhattisgarh,Korba,Podi Uproda,0
Chhattisgarh,Korba,Kartala,0
Chhattisgarh,Korba,Pali,0
Chhattisgarh,Korba,Korba Nagar Panchayat,1
Chhattisgarh,Raigarh,Raigarh-I,0
Chhattisgarh,Raigarh,Raigarh-II,0
Chhattisgarh,Raigarh,Raigarh-III,0
Chhattisgarh,Raigarh,Raigarh Nagar Panchayat,1
Chhattisgarh,Bastar,Bastar-I,0
Chhattisgarh,Bastar,Bastar-II,0
Chhattisgarh,Bastar,Bastar-III,0
Chhattisgarh,Bastar,Bastar Nagar Panchayat,1
Chhattisgarh,Rajnandgaon,Rajnandgaon-I,0
Chhattisgarh,Rajnandgaon,Rajnandgaon-II,0
Chhattisgarh,Rajnandgaon,Rajnandgaon-III,0
Chhattisgarh,Rajnandgaon,Rajnandgaon Nagar Panchayat,1
Chhattisgarh,Surguja,Surguja-I,0
Chhattisgarh,Surguja,Surguja-II,0
Chhattisgarh,Surguja,Surguja-III,0
Chhattisgarh,Surguja,Surguja Nagar Panchayat,1
Haryana,Gurugram,Sohna,1
Haryana,Gurugram,Pataudi,1
Haryana,Gurugram,Farukh Nagar,1
Haryana,Gurugram,Manesar,1
Haryana,Gurugram,Gurugram Municipal Corporation,1
Haryana,Faridabad,Ballabgarh,1
Haryana,Faridabad,Tigaon,1
Haryana,Faridabad,Prithla,1
Haryana,Faridabad,Badhkal,1
Haryana,Faridabad,Faridabad Municipal Corporation,1
Haryana,Hisar,Hansi,0
Haryana,Hisar,Barwala,0
Haryana,Hisar,Narnaund,0
Haryana,Hisar,Adampur,0
Haryana,Hisar,Hisar Nagar Panchayat,1
Haryana,Karnal,Gharaunda,0
Haryana,Karnal,Indri,0
Haryana,Karnal,Nilokheri,0
Haryana,Karnal,Assandh,0
Haryana,Karnal,Karnal Nagar Panchayat,1
Haryana,Ambala,Ambala-I,0
Haryana,Ambala,Ambala-II,0
Haryana,Ambala,Ambala-III,0
Haryana,Ambala,Ambala Nagar Panchayat,1
Haryana,Rohtak,Rohtak-I,0
Haryana,Rohtak,Rohtak-II,0
Haryana,Rohtak,Rohtak-III,0
Haryana,Rohtak,Rohtak Nagar Panchayat,1
Haryana,Panipat,Panipat-I,0
Haryana,Panipat,Panipat-II,0
Haryana,Panipat,Panipat-III,0
Haryana,Panipat,Panipat Nagar Panchayat,1
Haryana,Sonipat,Sonipat-I,0
Haryana,Sonipat,Sonipat-II,0
Haryana,Sonipat,Sonipat-III,0
Haryana,Sonipat,Sonipat Nagar Panchayat,1
Delhi,New Delhi,Chanakyapuri,1
Delhi,New Delhi,Connaught Place,1
Delhi,New Delhi,Karol Bagh,1
Delhi,New Delhi,Delhi Cantonment,1
Delhi,New Delhi,New Delhi Municipal Corporation,1
Delhi,North West Delhi,Narela,1
Delhi,North West Delhi,Rohini,1
Delhi,North West Delhi,Kanjhawala,1
Delhi,North West Delhi,Saraswati Vihar,1
Delhi,North West Delhi,North West Delhi Municipal Corporation,1
Delhi,South Delhi,Saket,1
Delhi,South Delhi,Hauz Khas,1
Delhi,South Delhi,Mehrauli,1
Delhi,South Delhi,Defence Colony,1
Delhi,South Delhi,South Delhi Municipal Corporation,1
Delhi,East Delhi,Preet Vihar,1
Delhi,East Delhi,Mayur Vihar,1
Delhi,East Delhi,Gandhi Nagar,1
Delhi,East Delhi,Vivek Vihar,1
Delhi,East Delhi,East Delhi Municipal Corporation,1
Delhi,West Delhi,West Delhi-I,1
Delhi,West Delhi,West Delhi-II,1
Delhi,West Delhi,West Delhi-III,1
Delhi,West Delhi,West Delhi Municipal Corporation,1
Delhi,North East Delhi,North East Delhi-I,1
Delhi,North East Delhi,North East Delhi-II,1
Delhi,North East Delhi,North East Delhi-III,1
Delhi,North East Delhi,North East Delhi Municipal Corporation,1
Delhi,Shahdara,Shahdara-I,1
Delhi,Shahdara,Shahdara-II,1
Delhi,Shahdara,Shahdara-III,1
Delhi,Shahdara,Shahdara Municipal Corporation,1
Delhi,Central Delhi,Central Delhi-I,1
Delhi,Central Delhi,Central Delhi-II,1
Delhi,Central Delhi,Central Delhi-III,1
Delhi,Central Delhi,Central Delhi Municipal Corporation,1
Jammu And Kashmir,Srinagar,Ganderbal,1
Jammu And Kashmir,Srinagar,Chadoora,1
Jammu And Kashmir,Srinagar,Pampore,1
Jammu And Kashmir,Srinagar,Khanmoh,1
Jammu And Kashmir,Srinagar,Srinagar Municipal Corporation,1
Jammu And Kashmir,Jammu,Akhnoor,1
Jammu And Kashmir,Jammu,Bishnah,1
Jammu And Kashmir,Jammu,R.S. Pura,1
Jammu And Kashmir,Jammu,Marh,1
Jammu And Kashmir,Jammu,Jammu Municipal Corporation,1
Jammu And Kashmir,Anantnag,Anantnag-I,0
Jammu And Kashmir,Anantnag,Anantnag-II,0
Jammu And Kashmir,Anantnag,Anantnag-III,0
Jammu And Kashmir,Anantnag,Anantnag Nagar Panchayat,1
Jammu And Kashmir,Baramulla,Baramulla-I,0
Jammu And Kashmir,Baramulla,Baramulla-II,0
Jammu And Kashmir,Baramulla,Baramulla-III,0
Jammu And Kashmir,Baramulla,Baramulla Nagar Panchayat,1
Jammu And Kashmir,Udhampur,Udhampur-I,0
Jammu And Kashmir,Udhampur,Udhampur-II,0
Jammu And Kashmir,Udhampur,Udhampur-III,0
Jammu And Kashmir,Udhampur,Udhampur Nagar Panchayat,1
Jammu And Kashmir,Kathua,Kathua-I,0
Jammu And Kashmir,Kathua,Kathua-II,0
Jammu And Kashmir,Kathua,Kathua-III,0
Jammu And Kashmir,Kathua,Kathua Nagar Panchayat,1
Uttarakhand,Dehradun,Vikasnagar,1
Uttarakhand,Dehradun,Doiwala,1
Uttarakhand,Dehradun,Rishikesh,1
Uttarakhand,Dehradun,Chakrata,1
Uttarakhand,Dehradun,Dehradun Municipal Corporation,1
Uttarakhand,Haridwar,Roorkee,0
Uttarakhand,Haridwar,Laksar,0
Uttarakhand,Haridwar,Bhagwanpur,0
Uttarakhand,Haridwar,Narsan,0
Uttarakhand,Haridwar,Haridwar Nagar Panchayat,1
Uttarakhand,Nainital,Haldwani,0
Uttarakhand,Nainital,Ramnagar,0
Uttarakhand,Nainital,Bhimtal,0
Uttarakhand,Nainital,Kaladhungi,0
Uttarakhand,Nainital,Nainital Nagar Panchayat,1
Uttarakhand,Udham Singh Nagar,Rudrapur,0
Uttarakhand,Udham Singh Nagar,Kashipur,0
Uttarakhand,Udham Singh Nagar,Bazpur,0
Uttarakhand,Udham Singh Nagar,Khatima,0
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar Nagar Panchayat,1
Uttarakhand,Pauri Garhwal,Pauri Garhwal-I,0
Uttarakhand,Pauri Garhwal,Pauri Garhwal-II,0
Uttarakhand,Pauri Garhwal,Pauri Garhwal-III,0
Uttarakhand,Pauri Garhwal,Pauri Garhwal Nagar Panchayat,1
Uttarakhand,Almora,Almora-I,0
Uttarakhand,Almora,Almora-II,0
Uttarakhand,Almora,Almora-III,0
Uttarakhand,Almora,Almora Nagar Panchayat,1
Himachal Pradesh,Shimla,Shimla-I,1
Himachal Pradesh,Shimla,Shimla-II,1
Himachal Pradesh,Shimla,Shimla-III,1
Himachal Pradesh,Shimla,Shimla Municipal Corporation,1
Himachal Pradesh,Kangra,Kangra-I,0
Himachal Pradesh,Kangra,Kangra-II,0
Himachal Pradesh,Kangra,Kangra-III,0
Himachal Pradesh,Kangra,Kangra Nagar Panchayat,1
Himachal Pradesh,Mandi,Mandi-I,0
Himachal Pradesh,Mandi,Mandi-II,0
Himachal Pradesh,Mandi,Mandi-III,0
Himachal Pradesh,Mandi,Mandi Nagar Panchayat,1
Himachal Pradesh,Solan,Solan-I,0
Himachal Pradesh,Solan,Solan-II,0
Himachal Pradesh,Solan,Solan-III,0
Himachal Pradesh,Solan,Solan Nagar Panchayat,1
Himachal Pradesh,Una,Una-I,0
Himachal Pradesh,Una,Una-II,0
Himachal Pradesh,Una,Una-III,0
Himachal Pradesh,Una,Una Nagar Panchayat,1
Manipur,Imphal West,Imphal West-I,1
Manipur,Imphal West,Imphal West-II,1
Manipur,Imphal West,Imphal West-III,1
Manipur,Imphal West,Imphal West Municipal Corporation,1
Manipur,Imphal East,Imphal East-I,0
Manipur,Imphal East,Imphal East-II,0
Manipur,Imphal East,Imphal East-III,0
Manipur,Imphal East,Imphal East Nagar Panchayat,1
Manipur,Churachandpur,Churachandpur-I,0
Manipur,Churachandpur,Churachandpur-II,0
Manipur,Churachandpur,Churachandpur-III,0
Manipur,Churachandpur,Churachandpur Nagar Panchayat,1
Goa,North Goa,North Goa-I,1
Goa,North Goa,North Goa-II,1
Goa,North Goa,North Goa-III,1
Goa,North Goa,North Goa Municipal Corporation,1
Goa,South Goa,South Goa-I,0
Goa,South Goa,South Goa-II,0
Goa,South Goa,South Goa-III,0
Goa,South Goa,South Goa Nagar Panchayat,1
Arunachal Pradesh,Papum Pare,Papum Pare-I,0
Arunachal Pradesh,Papum Pare,Papum Pare-II,0
Arunachal Pradesh,Papum Pare,Papum Pare-III,0
Arunachal Pradesh,Papum Pare,Papum Pare Nagar Panchayat,1
Arunachal Pradesh,East Siang,East Siang-I,0
Arunachal Pradesh,East Siang,East Siang-II,0
Arunachal Pradesh,East Siang,East Siang-III,0
Arunachal Pradesh,East Siang,East Siang Nagar Panchayat,1
Arunachal Pradesh,Tawang,Tawang-I,0
Arunachal Pradesh,Tawang,Tawang-II,0
Arunachal Pradesh,Tawang,Tawang-III,0
Arunachal Pradesh,Tawang,Tawang Nagar Panchayat,1
Tripura,West Tripura,West Tripura-I,1
Tripura,West Tripura,West Tripura-II,1
Tripura,West Tripura,West Tripura-III,1
Tripura,West Tripura,West Tripura Municipal Corporation,1
Tripura,South Tripura,South Tripura-I,0
Tripura,South Tripura,South Tripura-II,0
Tripura,South Tripura,South Tripura-III,0
Tripura,South Tripura,South Tripura Nagar Panchayat,1
Tripura,Dhalai,Dhalai-I,0
Tripura,Dhalai,Dhalai-II,0
Tripura,Dhalai,Dhalai-III,0
Tripura,Dhalai,Dhalai Nagar Panchayat,1
Meghalaya,East Khasi Hills,East Khasi Hills-I,1
Meghalaya,East Khasi Hills,East Khasi Hills-II,1
Meghalaya,East Khasi Hills,East Khasi Hills-III,1
Meghalaya,East Khasi Hills,East Khasi Hills Municipal Corporation,1
Meghalaya,West Garo Hills,West Garo Hills-I,0
Meghalaya,West Garo Hills,West Garo Hills-II,0
Meghalaya,West Garo Hills,West Garo Hills-III,0
Meghalaya,West Garo Hills,West Garo Hills Nagar Panchayat,1
Meghalaya,Ri Bhoi,Ri Bhoi-I,0
Meghalaya,Ri Bhoi,Ri Bhoi-II,0
Meghalaya,Ri Bhoi,Ri Bhoi-III,0
Meghalaya,Ri Bhoi,Ri Bhoi Nagar Panchayat,1
Mizoram,Aizawl,Aizawl-I,1
Mizoram,Aizawl,Aizawl-II,1
Mizoram,Aizawl,Aizawl-III,1
Mizoram,Aizawl,Aizawl Municipal Corporation,1
Mizoram,Lunglei,Lunglei-I,0
Mizoram,Lunglei,Lunglei-II,0
Mizoram,Lunglei,Lunglei-III,0
Mizoram,Lunglei,Lunglei Nagar Panchayat,1
Nagaland,Kohima,Kohima-I,1
Nagaland,Kohima,Kohima-II,1
Nagaland,Kohima,Kohima-III,1
Nagaland,Kohima,Kohima Municipal Corporation,1
Nagaland,Dimapur,Dimapur-I,1
Nagaland,Dimapur,Dimapur-II,1
Nagaland,Dimapur,Dimapur-III,1
Nagaland,Dimapur,Dimapur Municipal Corporation,1
Sikkim,East Sikkim,East Sikkim-I,1
Sikkim,East Sikkim,East Sikkim-II,1
Sikkim,East Sikkim,East Sikkim-III,1
Sikkim,East Sikkim,East Sikkim Municipal Corporation,1
Sikkim,South Sikkim,South Sikkim-I,0
Sikkim,South Sikkim,South Sikkim-II,0
Sikkim,South Sikkim,South Sikkim-III,0
Sikkim,South Sikkim,South Sikkim Nagar Panchayat,1
Puducherry,Puducherry,Puducherry-I,1
Puducherry,Puducherry,Puducherry-II,1
Puducherry,Puducherry,Puducherry-III,1
Puducherry,Puducherry,Puducherry Municipal Corporation,1
Puducherry,Karaikal,Karaikal-I,0
Puducherry,Karaikal,Karaikal-II,0
Puducherry,Karaikal,Karaikal-III,0
Puducherry,Karaikal,Karaikal Nagar Panchayat,1
Puducherry,Mahe,Mahe-I,0
Puducherry,Mahe,Mahe-II,0
Puducherry,Mahe,Mahe-III,0
Puducherry,Mahe,Mahe Nagar Panchayat,1
Puducherry,Yanam,Yanam-I,0
Puducherry,Yanam,Yanam-II,0
Puducherry,Yanam,Yanam-III,0
Puducherry,Yanam,Yanam Nagar Panchayat,1
Ladakh,Leh,Leh-I,0
Ladakh,Leh,Leh-II,0
Ladakh,Leh,Leh-III,0
Ladakh,Leh,Leh Nagar Panchayat,1
Ladakh,Kargil,Kargil-I,0
Ladakh,Kargil,Kargil-II,0
Ladakh,Kargil,Kargil-III,0
Ladakh,Kargil,Kargil Nagar Panchayat,1
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Dadra And Nagar Haveli-I,0
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Dadra And Nagar Haveli-II,0
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Dadra And Nagar Haveli-III,0
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Dadra And Nagar Haveli Nagar Panchayat,1
The Dadra And Nagar Haveli And Daman And Diu,Daman,Daman-I,1
The Dadra And Nagar Haveli And Daman And Diu,Daman,Daman-II,1
The Dadra And Nagar Haveli And Daman And Diu,Daman,Daman-III,1
The Dadra And Nagar Haveli And Daman And Diu,Daman,Daman Municipal Corporation,1
The Dadra And Nagar Haveli And Daman And Diu,Diu,Diu-I,0
The Dadra And Nagar Haveli And Daman And Diu,Diu,Diu-II,0
The Dadra And Nagar Haveli And Daman And Diu,Diu,Diu-III,0
The Dadra And Nagar Haveli And Daman And Diu,Diu,Diu Nagar Panchayat,1
Andaman And Nicobar Islands,South Andaman,South Andaman-I,1
Andaman And Nicobar Islands,South Andaman,South Andaman-II,1
Andaman And Nicobar Islands,South Andaman,South Andaman-III,1
Andaman And Nicobar Islands,South Andaman,South Andaman Municipal Corporation,1
Andaman And Nicobar Islands,North And Middle Andaman,North And Middle Andaman-I,0
Andaman And Nicobar Islands,North And Middle Andaman,North And Middle Andaman-II,0
Andaman And Nicobar Islands,North And Middle Andaman,North And Middle Andaman-III,0
Andaman And Nicobar Islands,North And Middle Andaman,North And Middle Andaman Nagar Panchayat,1
Andaman And Nicobar Islands,Nicobars,Nicobars-I,0
Andaman And Nicobar Islands,Nicobars,Nicobars-II,0
Andaman And Nicobar Islands,Nicobars,Nicobars-III,0
Andaman And Nicobar Islands,Nicobars,Nicobars Nagar Panchayat,1
Chandigarh,Chandigarh,Chandigarh (Central),1
Chandigarh,Chandigarh,Chandigarh (East),1
Chandigarh,Chandigarh,Chandigarh (South),1
Chandigarh,Chandigarh,Manimajra,1
Chandigarh,Chandigarh,Chandigarh Municipal Corporation,1
Lakshadweep,Kavaratti,Kavaratti North,0
Lakshadweep,Kavaratti,Kavaratti South,0
Lakshadweep,Kavaratti,Kavaratti Nagar Panchayat,1
Lakshadweep,Agatti,Agatti Island,0
Lakshadweep,Agatti,Agatti Nagar Panchayat,1
Lakshadweep,Amini,Amini Island,0
Lakshadweep,Amini,Amini Nagar Panchayat,1
Lakshadweep,Andrott,Andrott Island,0
Lakshadweep,Andrott,Andrott Nagar Panchayat,1
Lakshadweep,Minicoy,Minicoy Island,0
Lakshadweep,Minicoy,Minicoy Nagar Panchayat,1
